fused.ts,fused.H,fused.q[0],fused.q[1],fused.q[2],fused.q[3]
19424,-27.080591,0.998294,-0.05236,0.025807,0.000854
19465,-27.080744,0.998239,-0.055626,0.020606,0.000714
19527,-27.080709,0.997732,-0.065267,0.016441,0.000345
19588,-27.080435,0.99696,-0.075737,0.018307,0.000663
19629,-27.080336,0.996472,-0.080967,0.022039,0.001637
19691,-27.079222,0.996687,-0.074925,0.031625,0.001391
19752,-27.078297,0.99712,-0.061316,0.044572,0.002405
19794,-27.07852,0.99752,-0.042753,0.055859,0.002294
19856,-27.078566,0.996649,-0.010523,0.081118,0.00018
19917,-27.079226,0.995882,-0.00534,0.090499,0.000084
19978,-27.079168,0.99554,-0.003986,0.094248,0.000691
20019,-27.079702,0.995386,-0.003863,0.095875,0.000632
20081,-27.078327,0.995789,-0.003272,0.091615,0.00029
20143,-27.079779,0.996155,-0.003371,0.087541,0.000358
20184,-27.080517,0.996667,-0.002614,0.081534,0.000193
20245,-27.082951,0.996469,-0.001947,0.083939,0.000199
20307,-27.083302,0.996303,-0.002765,0.085867,-0.000006
20348,-27.084066,0.99671,-0.002673,0.08101,0.000131
20410,-27.085533,0.997316,-0.002364,0.073175,0.000144
20472,-27.087059,0.99828,-0.000513,0.058626,0.00022
20512,-27.088829,0.999007,-0.000134,0.044559,0.000093
20574,-27.090145,0.999188,0.000803,0.040284,-0.00017
20635,-27.091509,0.999316,-0.001037,0.036975,-0.000239
20676,-27.093605,0.999526,-0.008547,0.029564,0.000531
20738,-27.095469,0.999792,-0.016174,0.012424,0.000451
20800,-27.096348,0.999997,0.001069,0.002071,0.000381
20840,-27.097918,0.999964,0.007818,0.003209,-0.000104
20902,-27.100672,0.999974,0.006641,0.002969,-0.000012
20964,-27.101408,0.999971,0.0073,0.002283,-0.000041
21005,-27.101387,0.99997,0.007481,0.002104,0.000061
21067,-27.101698,0.999971,0.007426,0.00194,-0.000028
21128,-27.104103,0.999971,0.007427,0.001884,0.000005
21169,-27.106258,0.999971,0.007418,0.001841,-0.000001
21231,-27.107351,0.999971,0.007432,0.001824,0.000019
21292,-27.107704,0.999971,0.00743,0.001822,-0.000001
21333,-27.109058,0.999971,0.007384,0.001856,-0.000013
21395,-27.110815,0.999971,0.007378,0.001865,-0.000042
21457,-27.111889,0.99997,0.007535,0.001637,0.000068
21498,-27.111298,0.999969,0.007678,0.0016,-0.000002
21559,-27.11248,0.999969,0.007702,0.00161,0.000012
21621,-27.115511,0.99997,0.007639,0.001544,-0.000007
21662,-27.113682,0.99997,0.007587,0.001582,-0.000048
21724,-27.112316,0.99997,0.007539,0.001636,-0.000031
21785,-27.112825,0.999971,0.007453,0.001753,0.000008
21847,-27.115047,0.999971,0.007412,0.001879,-0.000048
21888,-27.116022,0.99997,0.007553,0.001852,-0.00002
21949,-27.116402,0.999969,0.007727,0.001722,-0.000014
21991,-27.117496,0.999968,0.007843,0.001679,0.000006
22052,-27.118141,0.999967,0.007993,0.001633,-0.000009
22114,-27.119263,0.999968,0.007874,0.001623,-0.000084
22155,-27.119646,0.999957,0.009129,0.001645,-0.000873
22216,-27.120075,0.999958,0.008904,0.001992,0.000017
22278,-27.120678,0.999963,0.008273,0.00217,-0.000165
22320,-27.12138,0.999966,0.007996,0.002174,-0.000132
22381,-27.121841,0.999963,0.008287,0.002167,-0.000295
22442,-27.121891,0.999964,0.008258,0.002144,-0.000256
22483,-27.121361,0.999966,0.007858,0.002342,-0.000022
22545,-27.123795,0.999968,0.007615,0.002471,-0.000043
22607,-27.123985,0.999969,0.007463,0.002337,-0.000016
22668,-27.121716,0.999969,0.007549,0.002359,-0.000051
22709,-27.119663,0.999969,0.007341,0.002896,-0.000488
22771,-27.119221,0.999982,0.005063,0.003172,0.000211
22832,-27.119463,0.999958,0.004726,0.007797,0.000579
22874,-27.119486,0.999794,0.003458,0.020016,0.000588
22936,-27.119404,0.999342,0.001818,0.036216,0.000793
22997,-27.118525,0.998657,0.00089,0.051791,0.001072
23058,-27.11834,0.998152,-0.000054,0.060752,0.001224
23099,-27.118418,0.998001,-0.000028,0.063187,0.001451
23161,-27.11882,0.997998,0.000373,0.063239,0.000398
23223,-27.117558,0.997675,-0.000115,0.068146,0.000641
23284,-27.117559,0.997696,0.000986,0.067841,-0.000637
23325,-27.118298,0.997469,0.00082,0.071102,-0.000404
23387,-27.119028,0.997265,0.00183,0.073892,-0.000545
23448,-27.119822,0.996893,0.001453,0.078753,-0.0004
23490,-27.121105,0.996608,0.001682,0.082275,-0.000558
23552,-27.122908,0.996358,0.001094,0.085254,-0.000615
23613,-27.124329,0.996314,0.00128,0.085769,-0.000434
23654,-27.124523,0.995713,-0.000158,0.092497,0.00045
23715,-27.123447,0.995289,-0.000763,0.096954,0.000256
23777,-27.122623,0.994483,-0.000073,0.104903,-0.000123
23839,-27.123093,0.994525,0.000735,0.104501,-0.000023
23900,-27.122194,0.995082,0.000958,0.099052,-0.000091
23941,-27.12252,0.996139,0.000748,0.087786,0.000148
24003,-27.122374,0.996449,0.003711,0.084113,-0.000537
24064,-27.12311,0.996535,0.003641,0.083097,-0.000424
24106,-27.123806,0.99667,0.009932,0.080935,-0.000773
24168,-27.122721,0.996808,0.019112,0.077513,-0.000249
24229,-27.121384,0.997324,0.012842,0.071977,-0.000297
24270,-27.120277,0.997391,0.001839,0.072168,0.000176
24331,-27.12059,0.997495,0.002262,0.070697,0.000134
24393,-27.118767,0.997386,0.003044,0.072195,0.000083
24434,-27.117302,0.997147,0.00394,0.075385,-0.0003
24496,-27.116598,0.997041,0.00345,0.076793,-0.000206
24557,-27.115917,0.997088,0.003917,0.076162,-0.000442
24619,-27.117765,0.997494,0.004558,0.070599,-0.000936
24660,-27.117121,0.998057,0.004585,0.062139,-0.000596
